1-gram,count
shooting,559
third,557
enough,557
5,557
always,557
remains,555
centre,555
almost,554
little,554
nothing,554
lebanese,553
committed,553
needed,552
plan,552
iranian,552
parties,550
evidence,548
change,548
toll,548
bombs,548
24,548
backed,547
expected,547
1948,546
uk,546
largest,544
invasion,542
society,541
1967,541
different,541
trucks,540
lack,540
things,537
lead,537
immediately,536
4,536
500,535
bodies,535
neighbourhood,532
british,532
reporters,531
role,529
sides,529
deadly,528
important,527
whose,524
leading,523
run,520
coalition,520
behind,519
act,519
find,518
ties,518
schools,517
together,517
went,516
threat,514
pause,513
china,511
stance,511
town,510
coming,509
capital,509
casualties,508
list,508
might,507
february,507
entire,507
team,506
policies,505
responsible,503
continuing,503
50,502
front,500
19,498
speaking,497
m,497
holy,497
cause,496
criminal,496
streets,496
jihad,495
services,494
electricity,494
less,493
received,493
ensure,492
gvir,491
keep,490
closed,489
buildings,486
2024,486
instead,485
communities,484
something,483
safety,483
congress,482
result,481
reach,481
iraq,480
serious,479
speech,479
process,478
small,477
claims,476
message,476
committee,475
critical,475
tried,475
everything,475
economic,472
ramadan,471
carrying,471
arms,470
responsibility,470
intelligence,470
missile,469
happened,468
facing,467
care,467
trump,466
400,465
21,465
special,465
mostly,464
claimed,463
cities,462
ever,461
exchange,460
plans,459
letter,459
infrastructure,459
mass,458
kill,458
co,457
information,456
funding,456
moment,455
non,454
arabia,454
detention,454
network,454
facilities,454
feel,449
really,448
damage,447
parts,446
rocket,446
views,446
line,445
particularly,444
failed,444
status,443
targets,443
anything,443
give,443
previously,442
showed,442
met,441
self,440
victims,440
deaths,440
enter,440
treatment,440
allies,438
spokesman,438
heard,438
scale,437
cross,437
criticism,436
25,436
americans,434
car,433
episode,433
article,432
defend,431
union,431
involved,429
street,428
heavy,426
germany,425
previous,424
students,424
claim,423
icc,423
experts,423
push,422
friends,422
target,421
child,420
soon,420
violations,420
muslims,419
hunger,419
emergency,418
bombed,418
gas,417
issued,416
try,416
longer,416
concerns,416
significant,415
strong,415
brought,415
negotiations,415
wants,415
happening,414
beyond,414
service,410
matter,410
agreed,407
demand,406
reached,406
everyone,405
currently,405
soldier,405
6,404
ambassador,404
eight,403
acts,403
8,403
lot,403
damaged,402
confirmed,402
cut,401
question,401
aggression,399
real,399
accountability,399
recently,399
dc,398
nakba,398
rejected,395
activists,394
arrest,394
displacement,394
caused,394
religious,394
built,393
relief,391
repeatedly,390
company,389
flag,389
22,388
look,388
reality,386
shared,386
warning,386
good,385
limited,385
violent,384
kingdom,383
zionist,383
short,383
done,383
drones,382
direct,382
struggle,381
let,380
villages,380
injuries,380
either,380
9,379
running,379
protection,378
presence,378
comments,378
watch,378
though,376
cases,375
fight,375
guterres,375
event,375
unprecedented,374
opened,373
opposition,373
sent,373
denied,372
relentless,371
include,370
faced,370
course,369
professor,369
jarrah,368
miles,368
similar,368
won,368
words,365
40,365
considered,363
eu,362
reuters,362
ships,361
ruling,361
development,361
shelter,360
ally,359
restrictions,359
france,359
issues,359
prisoner,358
explained,357
wanted,356
attempt,356
increased,356
meet,356
directly,355
became,354
collective,354
concern,353
lawyer,352
condition,352
term,352
rest,351
period,351
basic,351
followed,351
passed,351
stay,350
spoke,350
brother,349
increase,349
leadership,349
drone,349
captive,349
phone,349
holding,348
standing,348
rather,348
voice,346
responded,345
evacuate,345
dangerous,345
potential,344
nine,344
includes,344
stopped,343
gathered,343
multiple,343
rules,342
de,341
terror,341
statements,341
avoid,340
urged,340
killings,338
ordered,338
although,338
executive,338
completely,338
ones,338
mohammad,337
famine,337
woman,336
included,336
23,336
doctors,336
unable,336
omar,336
wife,336
fears,336
hard,335
governments,335
complete,335
whole,335
identified,334
conference,333
confrontations,332
effort,332
ahead,331
step,331
hand,330
broke,330
address,330
canada,330
joint,329
author,329
didn,329
antony,328
surprise,328
entered,328
secure,328
additional,328
carry,327
punishment,327
form,327
getting,327
daughter,327
wafa,326
moved,326
consequences,326
name,325
arrived,324
got,324
turkey,324
speak,323
imposed,322
deir,322
story,322
shipping,322
nearby,321
football,321
york,321
money,321
seeking,321
humanity,321
hands,321
detained,319
throughout,319
trade,318
26,318
steps,318
alone,317
parliament,317
hostilities,317
300,317
looking,316
doesn,316
companies,315
level,314
sources,314
reflect,314
sure,313
tanks,313
politics,313
light,312
respond,312
refused,312
terrorism,312
arrests,311
turn,311
ibrahim,311
regime,310
anyone,310
alleged,310
ended,309
catastrophe,309
flags,309
loss,309
residential,308
june,308
relatives,307
elections,307
ali,306
happen,306
lived,306
decided,306
beirut,306
laws,305
tens,305
turned,305
felt,305
parents,304
colleagues,304
devastating,304
person,304
institute,303
april,303
criticised,303
referring,302
beginning,302
struck,302
largely,302
massacre,302
politicians,301
forward,301
cabinet,301
vehicles,301
accords,300
semitism,300
works,299
election,299
scene,299
permanent,299
noted,299
tehran,299
declared,299
hebron,299
example,298
officers,298
opinion,298
road,298
supporters,298
raised,297
series,297
engagement,296
terms,296
colonial,296
sanctions,296
2020,296
price,296
violation,295
provided,295
concerned,295
programme,294
leaving,294
firing,294
believed,293
supporting,293
raided,293
embassy,293
innocent,292
organization,292
camps,291
fellow,291
tear,291
condemn,291
student,291
comment,291
ethnic,291
kind,290
tank,290
ahmed,290
27,290
read,289
bullet,289
advocates,288
deeply,288
healthcare,287
halt,287
balah,287
pain,287
arabic,287
relationship,287
heart,286
aimed,286
room,286
big,285
view,285
figures,285
republican,285
great,284
necessary,284
liberation,284
cairo,284
ahmad,284
best,284
tell,284
increasingly,284
command,283
interview,283
loved,283
entry,283
build,283
present,283
necessarily,283
funeral,282
eastern,282
threats,282
die,282
hour,282
wall,282
rise,282
lands,282
establishment,281
bullets,281
russian,281
facility,281
fatah,281
labour,280
india,280
trip,280
waiting,280
follow,280
seek,280
fighter,279
construction,279
administrative,279
single,279
husband,279
french,278
urgent,278
amount,278
favour,278
60,278
entering,277
shows,277
ship,276
request,275
sites,275
reportedly,275
signed,274
28,274
footage,274
impact,274
70,274
2014,274
sought,274
widespread,274
orders,274
https,273
facebook,273
tunnels,273
travel,273
source,273
amnesty,272
democrats,272
flee,272
borders,272
terrorists,272
thing,272
sound,272
towns,272
severe,271
posted,271
sheltering,271
analysts,271
houses,270
launch,270
blood,269
ministers,269
beit,269
mission,269
overnight,269
appeared,268
meant,268
bennett,268
worked,268
attention,268
silence,267
clashes,267
units,267
july,267
supported,267
effect,267
german,267
gone,266
deep,266
suffered,266
activist,266
advocacy,265
calm,265
approach,265
places,265
upon,265
published,265
break,265
discuss,264
complex,264
babies,264
simply,264
spent,264
brutal,263
oil,263
coverage,263
medicine,263
charge,263
agencies,263
hearing,262
europe,262
clearly,261
various,261
thought,261
page,261
equipment,261
editorial,261
gave,261
account,261
estimated,260
millions,260
save,259
ambulances,259
29,259
crescent,259
brigades,259
numbers,259
analyst,259
understand,259
allegations,258
fully,258
ready,258
wider,258
detainees,257
bill,257
commitment,257
genocidal,256
attempts,256
september,256
christian,255
biggest,255
voted,255
zone,255
cleansing,255
center,254
america,254
conduct,254
recognised,254
wars,254
linked,253
providing,253
separate,253
idea,252
victory,252
nation,252
demonstrations,251
captured,251
fled,251
seeing,251
impossible,250
reason,250
bomb,250
associated,250
play,250
repeated,249
popular,249
host,249
eyes,249
institutions,248
officer,248
attacking,248
smotrich,248
established,248
temporary,248
covering,248
join,247
better,247
actually,247
economy,247
anger,246
located,246
normalisation,246
planned,246
joined,246
final,246
mean,246
london,246
arabs,246
80,245
hassan,244
appears,244
focus,244
remained,243
pushing,243
videos,243
citing,243
makes,242
updates,242
faculty,242
housing,242
correspondent,242
goal,242
massive,242
activities,242
sense,241
addition,241
syrian,241
talk,241
battle,240
failure,239
youth,239
accountable,239
church,239
harm,238
online,238
representative,238
august,238
stated,238
worshippers,238
increasing,237
eventually,237
alive,237
deputy,237
destroy,237
factions,237
demanding,237
recognise,237
intense,237
create,236
gulf,236
content,236
moving,236
stressed,236
huge,236
vehicle,235
starvation,235
democracy,235
showing,235
shortly,235
2006,235
commercial,235
details,234
threatened,234
base,234
missing,233
spread,233
unit,233
interests,233
committing,233
coastal,232
australia,232
witnesses,232
shelling,232
conducted,232
nasser,232
coordination,231
condemnation,231
35,231
promised,231
cover,231
hear,231
research,231
send,230
pushed,230
pass,230
populated,230
700,230
commission,230
assembly,230
domestic,230
african,229
experience,229
rule,229
ability,229
sister,229
questions,229
allowing,228
expansion,228
incidents,228
language,228
publicly,228
instagram,228
historic,228
damascus,227
jabalia,227
born,227
dr,227
studies,227
cooperation,227
boycott,227
producer,226
marked,226
circumstances,226
sign,226
representatives,226
changed,226
possibility,226
atrocities,226
ban,225
tlaib,225
moral,225
reaching,225
31,225
managed,224
minutes,224
critics,224
voices,224
prisons,224
nuclear,224
vessels,223
seems,223
believes,223
telling,223
governs,222
bethlehem,222
commander,222
approved,222
hate,221
summit,221
basis,221
roads,221
supreme,221
brothers,220
indeed,220
investigate,220
owned,220
pay,220
2007,220
indiscriminate,220
progressive,220
ask,219
convention,219
kept,219
demands,219
communications,219
friend,218
positions,218
helped,218
martyrs,218
problem,218
neighbourhoods,218
grave,218
business,218
outlets,218
draft,218
david,218
achieve,217
alongside,217
rally,217
essential,217
probe,217
backing,216
aerial,216
evacuation,216
asking,216
shut,216
resident,215
constant,215
education,214
returned,214
elderly,214
densely,214
remaining,213
opportunity,213
expulsion,213
black,213
space,213
reasons,213
images,212
quds,212
operating,212
organised,212
cold,211
deadliest,211
maintain,211
michigan,211
enemy,210
wearing,210
visited,210
gantz,210
god,210
stands,210
cost,209
investigations,209
identity,209
surrounding,209
announcement,208
green,208
finally,208
abdel,207
boy,207
escalate,207
project,207
prayers,207
pledged,207
nationals,207
indonesia,206
gate,206
demonstrators,206
cars,206
stage,206
intensified,206
accept,205
posts,205
wounds,205
supply,205
influence,205
sometimes,205
checkpoint,204
quo,204
remarks,204
particular,204
affected,204
trapped,204
ruled,203
club,203
job,203
certain,203
age,203
explosion,203
usually,202
financial,202
abuses,202
giving,202
context,202
someone,202
controlled,202
focused,201
created,201
powerful,201
extended,201
severely,201
dire,201
wake,201
opening,201
murder,201
treated,200
platform,200
strategy,200
rising,199
property,199
refuge,199
whatever,199
strategic,199
highest,199
initial,198
internal,198
quickly,198
33,198
word,198
suspended,198
voters,198
protected,197
ambulance,197
deliver,197
delivery,197
stood,197
racist,197
citizen,197
mount,197
150,197
floor,196
goes,196
temple,196
uae,196
unsc,196
truth,196
century,196
aim,195
offer,195
stormed,195
lapid,195
win,195
goods,195
love,194
transfer,194
240,194
offices,194
evening,194
2019,194
worst,193
else,193
outrage,193
pointed,193
artillery,193
playing,193
blocked,193
faces,192
mansour,192
cornell,192
legislation,192
strongly,191
hopes,191
powers,191
serve,191
talking,191
causing,191
greater,191
guard,190
private,190
available,190
banned,190
resolutions,189
permits,189
antonio,189
partners,189
donald,189
mark,189
stories,189
ammunition,189
bin,189
charges,189
putting,188
internet,188
ll,188
engaged,188
nasrallah,188
king,187
demanded,187
extremely,187
names,187
2018,187
true,186
takes,186
airport,186
oppression,186
field,186
lines,186
adviser,186
approximately,185
primary,185
reconstruction,184
related,184
trauma,184
delivered,184
route,184
dawn,184
tv,184
itamar,184
breaking,183
defense,183
spain,183
ending,183
resources,183
agree,183
worse,183
gallant,183
escalating,183
lawmakers,183
mounting,182
receive,182
imminent,182
compared,182
metres,182
occupying,182
activity,182
double,182
deliveries,182
attempted,182
600,181
islam,181
offered,181
narrative,181
exports,181
surrounded,181
feeling,181
accusations,181
trial,181
appear,181
transferred,181
dahdouh,181
welcomed,180
remember,180
checkpoints,180
weekend,180
witnessed,179
homeland,179
record,179
express,178
doha,178
share,178
block,178
widely,178
sustained,178
expect,178
abdullah,177
losing,177
destroying,177
freed,177
consider,177
impunity,177
individuals,177
rhetoric,177
neighbours,177
knesset,176
jets,176
creation,176
christians,176
afp,176
begin,176
oslo,176
veto,175
indonesian,175
turkish,175
personnel,175
emirates,175
via,175
photos,175
combat,175
2005,175
demolished,175
funds,175
common,174
elsewhere,174
buried,174
afraid,174
consulate,174
conflicts,174
port,174
khaled,174
teams,174
prior,174
respect,174
extreme,174
per,173
numerous,173
bringing,172
votes,172
retaliation,172
diplomacy,172
tunnel,172
proposal,172
sending,171
accusing,171
desperate,171
250,171
measure,171
advance,171
determination,171
intifada,170
personal,170
resulted,170
planning,170
analysis,170
initially,170
nature,169
points,169
sparked,169
holds,169
shelters,169
rubber,169
45,169
couldn,169
aircraft,169
risks,169
sitting,169
cultural,169
presidential,168
c,168
hostage,168
shift,168
crowd,168
higher,168
demolition,168
ways,168
tells,168
lose,168
describing,168
citizenship,167
challenge,167
range,167
erdogan,167
supposed,167
reiterated,167
jordanian,167
sisi,167
unclear,166
energy,166
32,166
expand,166
semitic,166
regularly,166
proposed,166
review,166
lies,166
outposts,166
maritime,166
qassam,166
putin,166
prevented,166
b,166
becoming,166
veteran,166
muhammad,165
launching,165
olive,165
regarding,165
presented,165
chinese,165
designated,165
values,165
geneva,165
neither,164
appeal,164
probably,164
lasting,164
unacceptable,164
produced,164
mediterranean,164
unconditional,164
path,164
systems,164
zionism,163
seized,163
rare,163
139,163
lawyers,163
danger,163
vessel,163
iron,163
fourth,162
evacuated,162
emerged,162
levels,162
urging,162
miller,162
low,162
800,162
chance,162
nowhere,162
dropped,161
courts,161
heavily,161
interest,161
round,161
racism,161
legitimate,160
unity,160
operate,160
quoted,160
newspaper,160
attended,160
scenes,159
rescue,159
eye,159
square,159
prominent,159
challenges,159
weapon,159
accounts,159
worried,159
employees,159
collapse,159
britain,159
dollars,158
knows,158
sector,158
suggested,158
salem,158
empty,158
none,158
closer,158
huwara,157
escape,157
gunfire,157
entrance,157
bds,157
silent,157
delegation,157
diplomat,157
shown,157
envoy,157
board,156
sleep,156
herzog,156
catastrophic,156
00,156
john,156
served,156
renewed,156
d,156
duty,156
pray,156
forcibly,155
centres,155
deliberately,155
required,155
annual,155
physical,155
recalled,155
senator,155
firm,155
active,155
certainly,154
named,154
clothes,154
finance,154
league,154
signs,154
holocaust,154
apartment,154
seriously,153
medics,153
establish,153
blamed,153
colonialism,153
convoy,153
hrw,153
approval,153
aligned,152
serving,152
walk,152
district,152
english,152
lina,152
dozen,152
headquarters,152
explosions,152
historical,152
preparing,151
controls,151
opposed,151
stability,151
door,151
individual,151
stones,151
capacity,151
grounds,150
date,150
deliberate,150
ireland,150
knew,150
happens,150
cutting,150
raising,150
supports,150
initiative,150
placed,150
bombings,150
argued,150
kids,150
importance,150
warnings,149
expression,149
decisions,149
watching,149
seem,149
demolitions,149
wrong,149
vital,149
recognition,149
peaceful,149
generation,149
pij,148
channel,148
sinai,148
survive,148
prepared,148
presenter,148
guests,148
confrontation,148
propaganda,148
ahli,148
morocco,148
66,147
kirby,147
ran,147
assassination,147
normal,147
witness,147
worth,147
played,147
effectively,147
sovereignty,147
existence,147
fund,147
mental,147
finding,146
written,146
aware,146
provides,146
demonstration,146
expressing,146
suspected,146
raise,146
aipac,146
bureau,146
erupted,146
australian,146
jails,146
subject,145
allows,145
canadian,145
determined,145
expelled,145
qatari,145
capabilities,145
claiming,145
rebuild,145
horrific,145
trees,145
resulting,145
highly,145
saleh,144
pulled,144
experienced,144
choice,144
effective,144
reporter,144
concrete,144
prcs,144
wide,144
wasn,143
throwing,143
dome,143
broken,143
congresswoman,143
condemning,143
decade,143
adnan,143
progress,142
turning,142
shock,142
2000,142
doctor,142
involvement,142
staying,142
sales,142
vast,142
fleeing,142
contact,142
discussed,142
results,141
noting,141
struggling,141
permit,141
drive,141
grenades,141
justify,141
cup,141
shortages,141
beat,141
willing,141
answer,140
heads,140
fell,140
2016,140
moscow,140
represent,140
data,139
significantly,139
beijing,139
figure,139
orthodox,139
urge,139
doubt,139
massacres,139
expert,139
documented,139
crossings,139
tents,139
fall,139
ultimately,139
phase,138
diplomats,138
hoping,138
90,138
irgc,138
senate,138
suspects,138
blockaded,138
incursion,138
television,138
therefore,137
describe,137
blame,137
filed,137
changes,136
quarter,136
wave,136
bombardments,136
returning,136
sit,136
debate,136
indian,136
complicity,136
procession,136
ocha,136
happy,136
tragedy,136
discrimination,136
acting,135
mind,135
wael,135
suffer,135
developments,135
barghouti,135
internationally,135
2015,135
moments,135
travelling,135
forcing,135
perhaps,135
removed,135
broader,135
explosive,134
walls,134
receiving,134
adam,134
commissioner,134
imprisoned,134
standards,134
aims,134
republicans,134
regular,134
agenda,133
gunmen,133
denounced,133
buy,133
haifa,133
legislators,133
creating,133
lazzarini,133
salah,133
systematic,133
matters,133
poll,133
crucial,133
connect,133
survival,133
commit,133
audience,133
clean,132
sons,132
naftali,132
36,132
beaten,132
incursions,132
judicial,132
reduced,132
insisted,132
film,131
75,131
deployed,131
preventing,131
concluded,131
allegedly,131
welcome,131
disease,131
fast,130
neighbouring,130
ukrainian,130
cited,130
goals,130
memories,130
urgently,130
yes,130
dying,130
coordinator,129
intended,129
equal,129
recorded,129
underground,129
fence,129
tent,129
image,129
editor,129
yemeni,129
holiest,129
abroad,129
culture,129
dismissed,128
website,128
passing,128
understanding,128
visits,128
drop,128
technology,128
radio,127
fans,127
extend,127
couple,127
afternoon,127
unlikely,127
flights,127
conducting,127
festival,127
universities,127
aftermath,127
occurred,127
search,127
visiting,127
filled,127
girl,126
quite,126
advanced,126
armoured,126
mention,126
openly,126
station,126
8bn,126
baby,126
wish,126
48,126
messages,126
everywhere,126
rushed,126
outpost,126
partially,126
market,126
designed,126
apparent,126
costs,126
looks,126
barely,125
berlin,125
controversial,125
ismail,125
minute,125
blocking,125
mainstream,125
formal,125
intent,125
yesterday,125
plo,125
f,125
750,125
onto,125
subjected,125
engage,125
rebels,125
practice,125
statehood,125
pauses,125
specific,124
elected,124
u,124
potentially,124
founder,124
ends,124
thus,124
priority,124
shocked,124
aya,124
51,124
irish,124
triggered,124
flow,123
counter,123
cousin,123
helping,123
starting,123
isn,123
custody,123
agreements,123
trust,123
rallies,123
caught,123
khalil,123
headed,123
yoav,123
covered,123
nobody,123
warplanes,123
audio,123
unless,123
remove,123
bad,123
mainly,123
handed,122
overwhelming,122
location,122
training,122
34,122
brief,122
ngo,122
governing,122
locations,122
albanese,122
tension,122
hague,122
abraham,121
exposed,121
assad,121
suspect,121
nationalist,121
requires,121
extent,121
reaction,121
bilal,121
tselem,121
failing,121
fate,121
unfolding,121
surveillance,121
psychological,121
brazil,121
vetoed,121
jobs,120
platforms,120
questioned,120
mourners,120
continuous,120
39,120
assaults,120
belonging,120
oppose,120
arouri,120
55,120
river,120
drew,120
directed,120
unlike,120
tragic,120
climate,119
college,119
forget,119
communication,119
cancelled,119
haaretz,119
federal,119
wait,119
restore,119
restricted,119
tactics,119
warfare,119
researcher,119
rate,119
torture,119
tears,119
prayer,119
stepped,119
james,119
campus,119
hussein,119
formed,119
setting,118
mistake,118
exactly,118
brokered,118
players,118
problems,118
grown,118
passage,118
christmas,118
hagari,118
structures,118
discussions,118
daughters,118
earth,117
cease,117
independence,117
survived,117
thinking,117
female,117
iraqi,117
tower,117
thomas,117
disaster,117
simple,117
incitement,117
assessment,117
sick,117
revolutionary,117
drawing,117
annually,116
ultra,116
apart,116
attempting,116
bezalel,116
meetings,116
daniel,116
tech,116
pre,116
crew,116
uncle,116
generations,116
complicit,116
escalated,116
informed,115
thorough,115
false,115
task,115
acknowledged,115
bloc,115
hoped,115
monitor,115
prompted,115
sami,115
digital,115
hebrew,115
symbol,115
uses,115
din,115
campaigns,115
bloodshed,114
document,114
angry,114
uprising,114
cemetery,114
surge,114
direction,114
2002,114
driven,114
onslaught,114
bahrain,114
burned,114
association,114
imagine,114
partner,114
connection,114
stopping,114
restraint,114
feels,114
meaning,114
maghazi,114
threatening,114
mediation,113
memory,113
politically,113
represents,113
except,113
modern,113
game,113
foot,113
grew,113
2017,113
voiced,113
runs,113
comprehensive,113
referred,113
strength,113
wounding,112
abuse,112
purpose,112
harassment,112
introduced,112
cessation,112
intensive,112
joy,112
maintaining,112
pakistan,112
resume,112
rocks,112
monitoring,112
yair,111
centcom,111
affect,111
sisters,111
check,111
uncommitted,111
option,111
mustafa,111
instance,111
disproportionate,111
mediators,111
absolutely,110
boys,110
businesses,110
charged,110
stayed,110
affiliated,110
paris,110
treat,110
laid,110
cancer,110
haq,110
colleague,110
blast,110
congressional,110
conservative,110
cargo,110
waving,109
eid,109
drawn,109
lethal,109
ii,109
bombarded,109
shop,109
halla,109
journey,109
defeat,109
founded,109
looked,109
amounts,109
staunch,109
shoot,109
judge,109
dignity,109
material,109
delay,109
knowing,109
suspend,109
designation,109
toward,109
impose,109
borrell,108
feet,108
associate,108
birth,108
mohieddeen,108
starving,108
expanding,108
provisional,108
minority,108
horror,108
test,108
pointing,108
lying,108
deny,108
devastated,108
politician,108
require,108
considering,108
secret,108
tonnes,108
protecting,108
stun,108
traditional,108
visa,108
haven,107
sunak,107
formally,107
jerry,107
sounds,107
declaration,107
art,107
abudaqa,107
shortage,107
walking,107
officially,107
walked,107
organisers,107
golan,107
austin,107
zones,106
backlash,106
closely,106
arm,106
withdrawal,106
table,106
links,106
mid,106
worry,106
younger,106
regardless,106
alliance,106
facilitate,106
hani,106
success,106
entirely,106
heading,106
unwavering,106
projects,105
dual,105
gathering,105
study,105
condemns,105
beating,105
larger,105
gets,105
materials,105
abou,105
girls,105
behaviour,105
dream,105
annexation,105
causes,105
expanded,104
longstanding,104
easy,104
intervene,104
photo,104
lower,104
gun,104
sees,104
candidates,104
cast,104
quick,104
addameer,104
blackout,104
wadi,104
voting,104
nuseirat,104
gives,104
2008,104
thai,104
requests,103
mobile,103
apparently,103
interim,103
munitions,103
resist,103
unknown,103
alex,103
deter,103
suspension,103
sanders,103
driving,103
session,103
celebrate,103
